spp_com,dbh,date_plant,neighborhood,POINT_X,POINT_Y
"Linden, Littleleaf",5,--,East Boston,-71.03825,42.37944
"Basswood, American",24,--,East Boston,-71.0387,42.38034
"Maple, Red",4,--,Roxbury,-71.08793,42.33392
"Basswood, American",31,--,East Boston,-71.00691,42.38654
Apple/Crabapple,1,--,East Boston,-71.03856,42.37258
"Cherry, Japanese Flowering",3,--,East Boston,-71.00864,42.39001
Honeylocust,11,--,East Boston,-71.02914,42.38014
"Maple, Norway",2,--,Charlestown,-71.06957,42.38296
"Maple, Norway",18,--,East Boston,-71.03836,42.37659
"Planetree, London",17,--,East Boston,-71.03923,42.38274
"Hornbeam, European",20,--,East Boston,-71.01954,42.38142
"Hornbeam, European",8,--,East Boston,-71.03208,42.37904
"Oak, Pin",13,--,Charlestown,-71.05151,42.37542
"Ash, Green",12,--,East Boston,-71.03293,42.3798
"Cherry, Japanese Flowering",8,--,East Boston,-71.01173,42.39055
"Zelkova, Japanese",6,--,East Boston,-71.0218,42.38146
"Sweetgum, Common",3,--,East Boston,-71.03783,42.37995
"Ash, Green",20,--,East Boston,-71.01341,42.38147
"Pagoda Tree, Japanese",16,--,East Boston,-71.02055,42.38245
"Cherry, Yoshino Flowering",4,--,East Boston,-71.01746,42.38143
"Zelkova, Japanese",22,--,East Boston,-71.01897,42.3846
"Linden, Littleleaf",20,--,East Boston,-71.02168,42.3815
Honeylocust,7,--,East Boston,-71.02814,42.37823
"Oak, Northern Pin",8,--,East Boston,-71.0359,42.37297
Ginkgo,2,--,East Boston,-71.038,42.37217
"Oak, Swamp White",12,--,East Boston,-71.0332,42.37863
Honeylocust,11,--,Allston-Brighton,-71.16265,42.34895
"Pear, Callery",9,--,Roxbury,-71.0827,42.30982
"Elm, Accolade",11,--,East Boston,-71.01916,42.38465
"Planetree, London",17,--,East Boston,-71.03918,42.38107
Honeylocust,2,--,East Boston,-71.02321,42.38071
"Maple, Red",8,--,East Boston,-71.03899,42.38132
"Pear, Callery",8,--,East Boston,-71.01122,42.39044
