spp_com,dbh,date_plant,neighborhood,POINT_X,POINT_Y
"Oak, Northern Red",8,--,Charlestown,-71.06976,42.38288
"Oak, Bur",3,--,Roslindale,-71.14385,42.28355
"Oak, Scarlet",3,--,East Boston,-71.00779,42.38644
"Maple, Hedge",3,--,Roslindale,-71.14518,42.28441
"Maple, Norway",12,--,Roslindale,-71.14523,42.28295
"Maple, Red",2,--,East Boston,-71.0389,42.371
"Pear, Callery",11,--,Roslindale,-71.12919,42.28379
Honeylocust,10,--,East Boston,-71.03388,42.37498
"Hawthorn, Cockspur",2,Spring 2023,Roslindale,-71.12907,42.28238
Honeylocust,10,--,East Boston,-71.0408,42.3734
Scheduled Planting Site - Fall 2025,3,--,East Boston,-71.01614,42.38269
"Oak, Pin",8,--,Dorchester,-71.0902,42.28806
Apple/Crabapple,2,--,Allston-Brighton,-71.13181,42.35799
"Maple, Norway 'Crimson King'",17,--,South Boston,-71.03468,42.33062
Honeylocust,2,--,Roslindale,-71.13612,42.28622
"Elm, Accolade",5,--,South Boston,-71.03535,42.33186
"Lilac, Japanese Tree",6,--,Allston-Brighton,-71.1251,42.36055
Honeylocust,3,--,Roslindale,-71.13654,42.28621
Honeylocust,13,--,Charlestown,-71.05215,42.37801
Scheduled Planting Site - Fall 2025,0,--,South End,-71.07718,42.3376
Goldenrain Tree,3,--,Central Boston,-71.05983,42.36552
"Zelkova, Japanese",4,--,Mattapan,-71.09773,42.29123
"Oak, Willow",2,Spring 2024,West Roxbury,-71.15462,42.28615
"Pagoda Tree, Japanese",6,--,Central Boston,-71.05857,42.36406
"Maple, Amur",3,--,West Roxbury,-71.15575,42.29322
"Sycamore, American",21,--,West Roxbury,-71.14925,42.29448
Honeylocust,15,--,Charlestown,-71.05819,42.37635
"Maple, Red",2,Fall 2022,Allston-Brighton,-71.12696,42.35364
"Maple, Red",2,--,Dorchester,-71.07639,42.31354
Honeylocust,8,--,Central Boston,-71.05183,42.3618
"Oak, Northern Pin",6,--,East Boston,-71.02994,42.38126
"Pear, Callery",2,--,East Boston,-71.03404,42.37819
"Linden, Littleleaf",25,--,West Roxbury,-71.14986,42.2929
"Elm, Chinese",3,--,Fenway/Longwood,-71.10163,42.34737
Honeylocust,13,--,South Boston,-71.04408,42.33541
"Oak, Pin",3,--,West Roxbury,-71.15162,42.29075
Honeylocust,3,--,Allston-Brighton,-71.13236,42.35442
Honeylocust,13,--,Allston-Brighton,-71.13239,42.35451
"Ash, Green",8,--,South Boston,-71.0313,42.33284
Honeylocust,4,--,Allston-Brighton,-71.14494,42.35504
Apple/Crabapple,4,--,Allston-Brighton,-71.14917,42.35589
"Maple, Red",5,--,South Boston,-71.05056,42.35028
"Maple, Norway",18,--,Hyde Park,-71.14326,42.25219
"Oak, Pin",8,--,Roslindale,-71.10714,42.28732
"Elm, Accolade",8,--,Dorchester,-71.06357,42.32111
"Oak, Pin",9,--,Roslindale,-71.10709,42.28735
Apple/Crabapple,8,--,Jamaica Plain,-71.09998,42.32579
"Maackia, Amur",5,--,Dorchester,-71.07147,42.28054
"Oak, Willow",3,--,Allston-Brighton,-71.15301,42.34917
"Serviceberry, Cumulus",2,Spring 2023,Hyde Park,-71.14311,42.25223
"Cherry, Okame",2,--,West Roxbury,-71.16467,42.26945
"Sweetgum, Common",3,--,East Boston,-71.00852,42.3927
"Linden, Littleleaf",24,--,East Boston,-71.00286,42.39009
Honeylocust,12,--,South End,-71.07266,42.34101
"Linden, Littleleaf",21,--,East Boston,-71.00575,42.39144
Ginkgo,2,--,Roslindale,-71.14393,42.28803
"Pear, Callery",4,--,Back Bay/Beacon Hill,-71.06512,42.3589
Honeylocust,3,--,Roslindale,-71.11632,42.27817
"Ash, Green",20,--,South End,-71.06971,42.34247
"Cherry, Japanese Flowering",2,--,Roslindale,-71.12233,42.28387
Honeylocust,7,--,South Boston,-71.03988,42.33455
"Hornbeam, American",2,--,Charlestown,-71.0637,42.37467
"Ash, Green",14,--,Roslindale,-71.14151,42.28818
"Pear, Callery",6,--,Roslindale,-71.1255,42.28762
"Linden, Silver",9,--,Charlestown,-71.06579,42.37353
"Elm, American",5,--,Central Boston,-71.05933,42.36656
"Planetree, London",16,--,South Boston,-71.04411,42.33288
"Oak, Sawtooth",4,--,West Roxbury,-71.15618,42.27946
"Zelkova, Japanese",2,Spring 2023,South Boston,-71.03903,42.33229
Honeylocust,4,--,Central Boston,-71.05949,42.36621
Honeylocust,9,--,Allston-Brighton,-71.13249,42.35554
"Linden, Littleleaf",15,--,Roxbury,-71.08293,42.33754
Honeylocust,13,--,Charlestown,-71.06695,42.37735
Honeylocust,19,--,South Boston,-71.04397,42.3354
"Elm, Chinese",3,--,Fenway/Longwood,-71.10154,42.34721
"Oak, Swamp White",3,--,Fenway/Longwood,-71.08925,42.34038
"Pear, Callery",9,--,West Roxbury,-71.14811,42.29349
"Oak, Northern Red",27,--,West Roxbury,-71.14568,42.27152
"Linden, Littleleaf",11,--,West Roxbury,-71.14996,42.27753
"Maple, Norway",16,--,West Roxbury,-71.16852,42.27651
Honeylocust,22,--,West Roxbury,-71.15459,42.27671
"Maple, Hedge",13,--,West Roxbury,-71.16379,42.28011
"Maple, Red",2,--,West Roxbury,-71.14861,42.27988
"Maple, Norway",8,--,West Roxbury,-71.16367,42.28015
"Oak, Northern Red",16,--,Allston-Brighton,-71.12501,42.35165
"Oak, Pin",29,--,West Roxbury,-71.15874,42.28556
"Linden, Littleleaf",5,--,Jamaica Plain,-71.09853,42.3243
"Chokecherry, Canada Red",2,Spring 2023,West Roxbury,-71.17062,42.28461
"Maple, Hedge",12,--,West Roxbury,-71.16372,42.28004
"Cherry, Okame",1,--,Jamaica Plain,-71.11446,42.30032
"Cherry, Yoshino Flowering",3,--,West Roxbury,-71.14765,42.27767
"Oak, Fastigiate Pin",3,--,West Roxbury,-71.1516,42.28807
Ginkgo,1,--,West Roxbury,-71.15743,42.29734
Apple/Crabapple,4,--,West Roxbury,-71.14179,42.29332
Honeylocust,3,--,Central Boston,-71.05281,42.3657
"Maple, Hedge",4,--,Jamaica Plain,-71.13178,42.30458
"Pear, Callery",6,--,Central Boston,-71.05278,42.36577
Honeylocust,10,--,Central Boston,-71.05122,42.36525
"Maple, Red",5,--,West Roxbury,-71.15241,42.27739
"Planetree, London",25,--,South Boston,-71.04686,42.33229
"Cedar, Red",1,--,Central Boston,-71.05941,42.36476
"Maple, Norway",9,--,East Boston,-71.03569,42.37768
"Sycamore, American",12,--,South Boston,-71.04218,42.33306
"Maple, Norway 'Crimson King'",13,--,West Roxbury,-71.15012,42.27653
"Maackia, Amur",2,--,South Boston,-71.03573,42.33727
"Chokecherry, Common",2,--,South Boston,-71.0471,42.33243
Lilac,2,--,West Roxbury,-71.15302,42.27596
"Elm, Chinese",2,Fall 2024,Roxbury,-71.08331,42.33783
"Sycamore, American",6,--,Dorchester,-71.06564,42.29302
"Cherry, Yoshino Flowering",4,--,South Boston,-71.04632,42.33369
Honeylocust,14,--,East Boston,-71.03215,42.38045
"Linden, Littleleaf",13,--,East Boston,-71.02202,42.38203
Honeylocust,14,--,Central Boston,-71.06044,42.3647
"Cherry, Okame",1,--,Jamaica Plain,-71.11443,42.30043
"Maple, Norway",8,--,Fenway/Longwood,-71.09489,42.34724
"Pear, Callery",14,--,Back Bay/Beacon Hill,-71.08348,42.34278
Honeylocust,5,--,South End,-71.08089,42.34102
"Pear, Callery",10,--,Back Bay/Beacon Hill,-71.08331,42.34292
"Maple, Norway",13,--,West Roxbury,-71.16694,42.29246
"Maple, Norway",9,--,West Roxbury,-71.17105,42.28783
"Sycamore, American",17,--,West Roxbury,-71.16324,42.29493
"Maple, Norway",14,--,West Roxbury,-71.15949,42.28735
"Oak, Pin",8,--,Hyde Park,-71.12859,42.27076
"Elm, Accolade",6,--,Central Boston,-71.05192,42.36701
Ginkgo,2,--,West Roxbury,-71.15839,42.28825
"Linden, Silver",6,--,West Roxbury,-71.15524,42.29271
"Oak, Pin",18,--,West Roxbury,-71.15037,42.29035
"Pagoda Tree, Japanese",5,--,Back Bay/Beacon Hill,-71.06448,42.36098
"Sweetgum, Common",12,--,Charlestown,-71.06615,42.3767
"Ash, Green",11,--,Charlestown,-71.06525,42.37604
"Cherry, Yoshino Flowering",6,--,West Roxbury,-71.14034,42.29471
"Cherry, Japanese Flowering",6,--,West Roxbury,-71.15942,42.28731
"Maple, Norway",15,--,West Roxbury,-71.16449,42.28421
"Sycamore, American",19,--,West Roxbury,-71.16312,42.29506
"Maple, Norway",19,--,West Roxbury,-71.16939,42.28931
"Maple, Norway",16,--,West Roxbury,-71.16922,42.2892
"Maple, Norway",17,--,West Roxbury,-71.16657,42.29277
"Maple, Norway",14,--,West Roxbury,-71.16675,42.29253
"Pear, Callery",2,--,Jamaica Plain,-71.11131,42.32106
"Cedar, Red",1,--,Jamaica Plain,-71.11466,42.29968
"Hackberry, Northern",3,--,Charlestown,-71.06693,42.37991
"Honeylocust, Thornless",2,Spring 2024,Jamaica Plain,-71.10279,42.30588
Honeylocust,13,--,Jamaica Plain,-71.11372,42.31418
"Zelkova, Japanese",2,Spring 2024,Charlestown,-71.06795,42.37842
"Linden,Littleleaf 'Greenspire'",2,Spring 2023,Jamaica Plain,-71.10613,42.32165
Honeylocust,22,--,Roxbury,-71.08467,42.3195
"Linden, Littleleaf",21,--,Jamaica Plain,-71.1134,42.31973
"Redbud, Eastern",15,--,Jamaica Plain,-71.11569,42.31911
Honeylocust,3,--,South Boston,-71.04668,42.33856
"Linden, Littleleaf",29,--,Jamaica Plain,-71.11372,42.31986
"Oak, Bur",2,Spring 2023,Jamaica Plain,-71.11869,42.29521
"Pagoda Tree, Japanese",3,--,South Boston,-71.04376,42.33701
"Pear, Callery",4,--,Back Bay/Beacon Hill,-71.06781,42.35889
"Linden, Littleleaf",2,Fall 2022,Dorchester,-71.0617,42.29472
Honeylocust,5,--,Jamaica Plain,-71.11869,42.30923
"Corktree, Amur",10,--,Jamaica Plain,-71.10292,42.31607
"Zelkova, Japanese",3,--,East Boston,-71.03928,42.37926
"Oak, Hybrid English",2,Spring 2024,Charlestown,-71.07191,42.38283
Honeylocust,2,--,Roslindale,-71.1221,42.28168
Honeylocust,2,--,East Boston,-71.03857,42.37466
"Elm, American",5,--,East Boston,-71.03931,42.37936
"Maackia, Amur",11,--,Jamaica Plain,-71.10297,42.31617
"Lilac, Japanese Tree",4,--,East Boston,-71.04011,42.37841
"Elm, Chinese",3,--,Fenway/Longwood,-71.10159,42.34729
"Zelkova, Japanese",4,--,West Roxbury,-71.15156,42.28819
"Linden, Littleleaf",19,--,Jamaica Plain,-71.13199,42.30299
"Linden, Littleleaf",1,--,South End,-71.07012,42.33755
"Linden, Littleleaf",22,--,Jamaica Plain,-71.12093,42.30975
"Oak, Northern Red",10,--,Charlestown,-71.0621,42.37876
Honeylocust,11,--,South Boston,-71.0374,42.33238
"Oak, Pin",2,--,South Boston,-71.042,42.33224
"Honeylocust, Thornless",2,Spring 2025,Central Boston,-71.06264,42.36486
"Sweetgum, Common",13,--,South Boston,-71.04972,42.33299
"Serviceberry, Allegheny",2,Fall 2022,East Boston,-71.03161,42.38139
"Oak, Pin",4,--,Central Boston,-71.05911,42.36509
"Maple, Norway",19,--,West Roxbury,-71.16553,42.26646
"Elm, Chinese",2,Spring 2024,South Boston,-71.04553,42.33207
"Ash, Green",11,--,South Boston,-71.04833,42.33368
"Maple, Norway 'Crimson King'",19,--,West Roxbury,-71.15041,42.2751
"Maple, Norway",11,--,South Boston,-71.04833,42.33342
"Pear, Callery",9,--,Dorchester,-71.06229,42.31041
"Oak, Scarlet",34,--,West Roxbury,-71.15132,42.27845
Hydrangea,1,--,West Roxbury,-71.17037,42.28455
"Maple, Miyabe 'Morton'",6,--,West Roxbury,-71.16395,42.28037
"Planetree, London",34,--,West Roxbury,-71.14932,42.28251
Honeylocust,13,--,Dorchester,-71.07111,42.28678
Sweetgum 'Happidaze',2,Spring 2024,Dorchester,-71.06926,42.28979
"Linden, Littleleaf",20,--,Jamaica Plain,-71.11653,42.32001
Honeylocust,3,--,Central Boston,-71.06558,42.36583
"Elm, American",6,--,Jamaica Plain,-71.09869,42.32337
"Linden, Littleleaf",18,--,Jamaica Plain,-71.12737,42.30694
"Maple, Red",5,--,West Roxbury,-71.1367,42.29521
Ginkgo,4,--,Jamaica Plain,-71.11572,42.30353
"Oak, Sawtooth",4,--,Charlestown,-71.07034,42.38361
"Oak, Pin",25,--,Charlestown,-71.06753,42.37736
"Maple, Hedge",5,--,Jamaica Plain,-71.11536,42.29373
"Oak, Sawtooth",2,--,Charlestown,-71.06039,42.37831
"Linden, Littleleaf",25,--,Dorchester,-71.06667,42.30259
"Oak, Scarlet",2,--,Jamaica Plain,-71.10675,42.32326
"Linden, Littleleaf",12,--,Jamaica Plain,-71.11313,42.29849
"Birch, River",6,--,Jamaica Plain,-71.11248,42.31616
Goldenrain Tree,2,--,Jamaica Plain,-71.12981,42.30498
Hawthorn,2,--,Jamaica Plain,-71.11479,42.29957
Honeylocust,18,--,Jamaica Plain,-71.1138,42.31419
"Maple, Red",3,--,Jamaica Plain,-71.12694,42.31103
"Linden, Littleleaf",3,--,East Boston,-71.00516,42.38732
"Cherry, Yoshino Flowering",7,--,Dorchester,-71.05424,42.28996
"Cherry, Japanese Flowering",7,--,Dorchester,-71.06056,42.29521
Honeylocust,24,--,Dorchester,-71.07047,42.29375
"Maple, Red",7,--,Dorchester,-71.06818,42.29525
"Lilac, Japanese Tree",6,--,West Roxbury,-71.15751,42.28594
Honeylocust,8,--,West Roxbury,-71.14754,42.28131
"Linden, Littleleaf",22,--,West Roxbury,-71.166,42.28553
"Maple, Red",2,--,Back Bay/Beacon Hill,-71.07089,42.35734
"Pear, Callery",17,--,West Roxbury,-71.16684,42.2924
Honeylocust,6,--,Fenway/Longwood,-71.0981,42.3487
Honeylocust,17,--,Charlestown,-71.06331,42.37811
"Zelkova, Japanese",2,Spring 2023,West Roxbury,-71.17027,42.28386
"Maple, Red",6,--,West Roxbury,-71.16361,42.28009
"Pear, Callery",3,--,Dorchester,-71.0656,42.31438
"Oak, Pin",25,--,West Roxbury,-71.14916,42.28161
Ginkgo,10,--,Roxbury,-71.09085,42.32689
Ginkgo,8,--,Dorchester,-71.0689,42.2852
"Zelkova, Japanese",2,Spring 2024,Dorchester,-71.06834,42.29125
"Pagoda Tree, Japanese",5,--,Dorchester,-71.07167,42.2886
Apple/Crabapple,2,--,Dorchester,-71.08382,42.29075
"Linden, Littleleaf",25,--,Dorchester,-71.06924,42.28788
"Hornbeam, American",2,Spring 2024,Dorchester,-71.06912,42.28976
"Ash, Green",9,--,Dorchester,-71.07004,42.28995
"Elm, Chinese",2,Spring 2024,Roxbury,-71.07553,42.33217
Honeylocust,13,--,Dorchester,-71.05573,42.28374
Honeylocust,21,--,Charlestown,-71.06298,42.37947
"Oak, Northern Red",2,--,Allston-Brighton,-71.12595,42.35102
"Pear, Callery",13,--,Dorchester,-71.05254,42.28497
"Redbud, Eastern",3,--,Dorchester,-71.06548,42.29918
Crabapple spp.,2,Spring 2022,South Boston,-71.04916,42.3357
Honeylocust,11,--,Charlestown,-71.0617,42.37216
Honeylocust,6,--,Roxbury,-71.07798,42.33556
"Elm, prospector",1,--,Dorchester,-71.07161,42.29124
Honeylocust,1,--,Roxbury,-71.07774,42.33322
Honeylocust,3,--,Roxbury,-71.08485,42.33118
"Redbud, Eastern",13,--,Jamaica Plain,-71.1157,42.31917
"Elm, Chinese",5,--,Dorchester,-71.05173,42.28262
"Maple, Hedge",3,--,Dorchester,-71.0573,42.2868
"Maple, Silver",3,--,Dorchester,-71.06463,42.29647
"Cherry, Yoshino Flowering",5,--,Dorchester,-71.05912,42.2941
"Linden, Littleleaf",20,--,Dorchester,-71.06181,42.2943
"Cherry, Autumnalis",3,--,Dorchester,-71.05003,42.2869
"Maple, Norway 'Crimson King'",10,--,Dorchester,-71.0607,42.27863
"Sweetgum, Common",5,--,South Boston,-71.05259,42.33645
"Pagoda Tree, Japanese",18,--,South End,-71.07553,42.33643
"Oak, Swamp White",5,--,Roslindale,-71.11998,42.27309
"Maple, Norway",19,--,Hyde Park,-71.11195,42.26478
"Linden, Littleleaf",13,--,Dorchester,-71.06075,42.32307
Honeylocust,16,--,South End,-71.0742,42.34448
"Coffeetree, Kentucky",2,Spring 2023,South End,-71.07584,42.33668
"Oak, English",2,Fall 2024,Dorchester,-71.06235,42.31506
Scheduled Planting Site - Spring 2025,0,--,South End,-71.07362,42.34378
"Oak, Sawtooth",5,--,South End,-71.07198,42.33979
"Linden, Littleleaf",11,--,East Boston,-71.00129,42.38815
"Maple, Norway",21,--,South End,-71.0727,42.34538
"Linden, Silver",2,--,South End,-71.07279,42.33924
"Oak, Willow",4,--,South End,-71.07338,42.34711
"Linden, Silver",2,Spring 2023,South End,-71.06669,42.34299
"Magnolia, Star",3,--,South End,-71.07265,42.34489
"Oak, Chestnut",2,Fall 2024,East Boston,-71.00144,42.38811
"Maple, Red",11,--,South End,-71.07866,42.33883
Tulip Tree,2,--,South End,-71.07481,42.34479
"Cherry, Japanese Flowering",6,--,Roxbury,-71.07938,42.33737
"Tupelo, Black",3,--,Fenway/Longwood,-71.08862,42.34033
"Oak, Pin",2,Spring 2024,South End,-71.0729,42.34465
"Pine, Eastern White",6,--,Hyde Park,-71.10451,42.26347
"Oak, English",3,--,Fenway/Longwood,-71.08808,42.34154
"Oak, Pin",2,Spring 2024,Fenway/Longwood,-71.09794,42.34361
Ginkgo,20,--,Fenway/Longwood,-71.09949,42.33816
"Maple, Norway",11,--,South End,-71.07839,42.33969
"Maple, Norway",11,--,South End,-71.07327,42.3469
Honeylocust,5,--,Hyde Park,-71.12313,42.26019
Honeylocust,15,--,South End,-71.07571,42.33898
"Oak, Pin",10,--,South End,-71.07177,42.34497
"Maple, Norway",18,--,Dorchester,-71.06017,42.29211
"Zelkova, Japanese",15,--,South End,-71.07719,42.33801
"Oak, Pin",16,--,South End,-71.07208,42.3449
"Maple, Norway 'Crimson King'",12,--,Jamaica Plain,-71.11572,42.31924
"Zelkova, Japanese",14,--,South End,-71.07708,42.33808
Honeylocust,16,--,South End,-71.07143,42.34506
"Maple, Norway",11,--,South Boston,-71.0445,42.337
Empty Pit/Planting Site,0,--,Central Boston,-71.06171,42.35361
"Maple, Norway",18,--,South End,-71.07388,42.34323
"Linden, Silver",2,--,Dorchester,-71.06773,42.28895
"Planetree, London",12,--,South End,-71.07694,42.33817
"Pear, Callery",10,--,South End,-71.0751,42.3454
"Elm, Accolade",10,--,Roxbury,-71.07836,42.33748
"Planetree, London",12,--,South End,-71.07388,42.34437
"Oak, Pin",3,--,South End,-71.07758,42.33775
"Lilac, Japanese Tree",6,--,Dorchester,-71.06991,42.28408
Honeylocust,13,--,South End,-71.07136,42.34507
"Pear, Callery",8,--,Roxbury,-71.07867,42.33771
"Maple, Norway",16,--,Dorchester,-71.06599,42.28658
"Basswood, American",22,--,South End,-71.07496,42.34547
Honeylocust,14,--,South End,-71.07879,42.33911
Honeylocust,14,--,Roxbury,-71.09081,42.32698
Honeylocust,8,--,South End,-71.07502,42.34523
Honeylocust,15,--,South End,-71.0755,42.33913
Honeylocust,3,--,South Boston,-71.04652,42.33846
"Elm, Accolade",4,--,South End,-71.07333,42.34453
"Planetree, London",9,--,Fenway/Longwood,-71.08828,42.34076
"Maple, Norway",21,--,West Roxbury,-71.15957,42.28729
"Oak, English",3,--,South End,-71.07455,42.3442
"Linden, Littleleaf",14,--,South End,-71.07924,42.3395
"Linden, Littleleaf",19,--,West Roxbury,-71.17048,42.28799
Honeylocust,11,--,South End,-71.07397,42.34344
Honeylocust,15,--,South End,-71.07906,42.33935
"Maple, Red",2,--,Dorchester,-71.07652,42.31358
Honeylocust,13,--,South End,-71.07493,42.34539
Honeylocust,13,--,South End,-71.07583,42.3389
"Hackberry, Northern",2,--,South End,-71.07429,42.3441
"Maple, Red 'Red Sunset'",2,Spring 2025,West Roxbury,-71.15972,42.28726
"Planetree, London",11,--,Fenway/Longwood,-71.08806,42.34084
"Zelkova, Japanese",5,--,South End,-71.07374,42.34442
"Maple, Red",5,--,West Roxbury,-71.1656,42.29282
"Coffeetree, Kentucky",5,--,South End,-71.07761,42.33901
"Cherry, Yoshino Flowering",10,--,West Roxbury,-71.16804,42.28998
"Pear, Callery",9,--,South End,-71.07375,42.3403
"Zelkova, Japanese",14,--,Allston-Brighton,-71.12858,42.35271
"Planetree, London",12,--,South End,-71.07326,42.34455
"Pear, Callery",14,--,South End,-71.07707,42.33752
"Zelkova, Japanese",12,--,Allston-Brighton,-71.12901,42.35276
"Coffeetree, Kentucky",2,--,South End,-71.07418,42.3439
"Zelkova, Japanese",13,--,South End,-71.06894,42.3415
"Chokecherry, Canada Red",3,--,West Roxbury,-71.16628,42.29098
"Maple, Norway",22,--,South End,-71.0741,42.34376
"Elm, Accolade",8,--,Roxbury,-71.07731,42.33661
Ginkgo,5,--,Charlestown,-71.06275,42.37768
"Linden, Littleleaf",18,--,South End,-71.07509,42.34405
Elm,7,--,South End,-71.06934,42.34135
"Cherry, Autumnalis",1,--,Dorchester,-71.06046,42.29523
"Linden, Littleleaf",4,--,South End,-71.07562,42.34391
"Elm, Accolade",4,--,South End,-71.07334,42.33891
"Oak, Swamp White",11,--,Dorchester,-71.05372,42.28932
"Maple, Red",2,--,Fenway/Longwood,-71.10562,42.34664
"Cherry, Higan",11,--,South End,-71.07684,42.33734
"Sweetgum, Common",8,--,Dorchester,-71.06888,42.29306
"Linden, Littleleaf",14,--,South End,-71.07475,42.34499
"Zelkova, Japanese",5,--,South End,-71.07767,42.33724
Honeylocust,18,--,Central Boston,-71.05119,42.36346
Honeylocust,6,--,South End,-71.07391,42.3433
"Elm, Accolade",7,--,South End,-71.07393,42.33851
"Maple, Norway",2,--,Dorchester,-71.06349,42.29271
"Cherry, Japanese Flowering",6,--,Fenway/Longwood,-71.1061,42.34615
"Pear, Callery",7,--,South End,-71.07661,42.33731
Ginkgo,2,--,Charlestown,-71.05927,42.37733
"Elm, Accolade",15,--,South End,-71.07517,42.33767
Honeylocust,7,--,Roxbury,-71.08035,42.33364
"Linden, Littleleaf",17,--,South End,-71.07529,42.344
"Tupelo, Black",2,--,Fenway/Longwood,-71.0916,42.33912
Honeylocust,8,--,Dorchester,-71.08749,42.29797
"Elm, Accolade",6,--,Fenway/Longwood,-71.10621,42.34611
"Elm, American",4,--,Fenway/Longwood,-71.08804,42.34058
Apple/Crabapple,10,--,Dorchester,-71.06773,42.3023
"Linden, Littleleaf",14,--,South End,-71.07494,42.3441
"Elm, Accolade",13,--,South End,-71.07504,42.33775
"Hackberry, Northern",2,Spring 2025,Mission Hill,-71.09988,42.33588
"Linden, Littleleaf",17,--,South End,-71.07607,42.34379
"Oak, Pin",4,--,Roxbury,-71.07565,42.33525
"Pagoda Tree, Japanese",7,--,South Boston,-71.04903,42.33539
"Linden, Littleleaf",17,--,South End,-71.07517,42.34403
Ginkgo,2,--,Fenway/Longwood,-71.0922,42.33889
"Serviceberry, Cumulus",2,Fall 2024,Hyde Park,-71.11221,42.26666
"Elm, Accolade",3,--,South End,-71.07466,42.34487
"Oak, Pin",2,Spring 2024,South End,-71.07272,42.3393
"Elm, prospector",2,--,Dorchester,-71.07214,42.30111
"Maple, Norway",14,--,South End,-71.07429,42.34375
"Oak, Bur",2,Spring 2023,South End,-71.07263,42.33937
Horsechestnut,12,--,Jamaica Plain,-71.12606,42.30462
Goldenrain Tree,2,Fall 2024,South End,-71.07427,42.34404
"Elm, Accolade",10,--,Roxbury,-71.07779,42.33699
Honeylocust,2,--,East Boston,-71.04077,42.37101
"Cherry, Japanese Flowering",16,--,Fenway/Longwood,-71.10593,42.34601
"Planetree, London",10,--,South End,-71.07088,42.34052
Honeylocust,19,--,Charlestown,-71.06139,42.37447
"Elm, Chinese",4,--,Fenway/Longwood,-71.08787,42.34064
"Elm, American",7,--,Jamaica Plain,-71.09866,42.32299
"Oak, Bur",2,Spring 2024,South End,-71.07327,42.33896
"Elm, American",52,--,South End,-71.07478,42.34415
"Maple, Norway",5,--,East Boston,-71.03742,42.37096
"Elm, Accolade",12,--,South End,-71.07581,42.33718
"Oak, Sawtooth",2,Spring 2025,South End,-71.07469,42.34491
"Ash, Green",15,--,Dorchester,-71.05586,42.31366
"Elm, Accolade",3,--,South End,-71.07316,42.33902
Empty Pit/Planting Site,0,--,South End,-71.07461,42.34477
Honeylocust,3,--,Roslindale,-71.11589,42.27549
"Elm, Accolade",4,--,South End,-71.07428,42.33828
"Elm, Accolade",8,--,South End,-71.07416,42.34382
"Elm, Chinese",5,--,Fenway/Longwood,-71.10857,42.33577
"Elm, Accolade",9,--,South End,-71.07591,42.33712
"Linden, Littleleaf",3,--,Fenway/Longwood,-71.103,42.34734
"Elm, American",5,--,Mission Hill,-71.09943,42.33606
"Elm, Accolade",10,--,South End,-71.0751,42.33771
"Zelkova, Japanese",4,--,Fenway/Longwood,-71.10278,42.34718
Honeylocust,11,--,Dorchester,-71.06685,42.30063
"Elm, Accolade",8,--,South End,-71.07446,42.33816
"Pear, Callery",8,--,South End,-71.07075,42.34457
"Sweetgum, Common",2,Spring 2025,Dorchester,-71.0883,42.2979
"Zelkova, Japanese",6,--,Roxbury,-71.07613,42.33564
"Oak, Northern Red",21,--,South End,-71.07484,42.34272
"Oak, Pin",9,--,Dorchester,-71.0934,42.29443
"Zelkova, Japanese",3,--,Roxbury,-71.07651,42.33595
"Maple, Red",14,--,South End,-71.07502,42.34275
Honeylocust,9,--,Roxbury,-71.0795,42.33433
"Maple, Red",10,--,South End,-71.07588,42.34377
Honeylocust,9,--,Roslindale,-71.12504,42.27367
"Elm, Accolade",10,--,South End,-71.076,42.33706
"Elm, Accolade",5,--,South End,-71.07432,42.34416
Honeylocust,3,--,Dorchester,-71.05695,42.32516
"Elm, Accolade",10,--,South End,-71.07478,42.33795
"Linden, Littleleaf",10,--,South End,-71.07457,42.34467
Honeylocust,3,--,Central Boston,-71.05345,42.36369
"Ash, Green",22,--,South End,-71.07809,42.33943
"Cherry, Japanese Flowering",9,--,Fenway/Longwood,-71.10577,42.34571
"Coffeetree, Kentucky",2,Fall 2024,Roxbury,-71.08212,42.32252
Honeylocust,11,--,South End,-71.07578,42.33893
"Cherry, Japanese Flowering",11,--,Fenway/Longwood,-71.10583,42.34581
"Oak, Willow",5,--,Dorchester,-71.08617,42.28704
"Zelkova, Japanese",16,--,South End,-71.07701,42.33813
"Maple, Norway",14,--,South End,-71.07403,42.3432
"Linden, Littleleaf",7,--,Hyde Park,-71.11784,42.27036
"Planetree, London",9,--,Fenway/Longwood,-71.08817,42.34079
"Oak, Hybrid English",2,Spring 2024,South End,-71.07423,42.34399
"Coffeetree, Kentucky",4,--,Dorchester,-71.05724,42.31634
Scheduled Planting Site - Fall 2025,0,--,South End,-71.07421,42.33998
"Planetree, London",15,--,South End,-71.07422,42.34428
"Maple, Red",4,--,Dorchester,-71.04627,42.31121
"Elm, American",2,--,Fenway/Longwood,-71.09137,42.33953
"Maple, Red",5,--,Fenway/Longwood,-71.10675,42.34637
"Pear, Callery",27,--,Hyde Park,-71.11462,42.26564
"Ash, Green",20,--,South End,-71.07833,42.33963
"Pagoda Tree, Japanese",3,--,South End,-71.07391,42.34336
Honeylocust,20,--,Charlestown,-71.06078,42.37549
"Maple, Norway",10,--,Fenway/Longwood,-71.09962,42.33799
"Elm, Accolade",6,--,Fenway/Longwood,-71.10639,42.34606
Ginkgo,13,--,Fenway/Longwood,-71.09937,42.33835
"Pear, Callery",13,--,South End,-71.07438,42.33985
"Elm, Accolade",6,--,Fenway/Longwood,-71.10555,42.34629
